Id,Start time,Completion time,ttc,Email,How long,visit,Staff,Food,Cost,Security,Performance,Sense of community,Rewards,Duplicates,New rewards membership,will supply ranch,rating,comment,Skinwalker Flag Count
1,04/07/2026 15:26:38,04/07/2026 15:28:41,0:02:03,anonymous,> 10 years,Never,Extremely satisfied,Extremely satisfied,Neutral,Extremely satisfied,Extremely satisfied,Neutral,Extremely satisfied,Extremely satisfied,Priority Seating,Very likely,10,More peo- more food option.,4
2,04/07/2026 15:32:24,04/07/2026 15:33:27,0:01:03,anonymous,> 10 years,Never,Extremely dissatisfied ,Extremely dissatisfied ,Extremely dissatisfied ,Extremely dissatisfied ,Extremely dissatisfied ,Extremely dissatisfied ,Extremely dissatisfied ,Extremely dissatisfied ,Credits to full meals,Somewhat unlikely,1,deodorant on certain employees.,0
3,04/07/2026 16:04:43,04/07/2026 16:16:00,0:11:17,anonymous,6 - 12 months,Yearly,Satisifed,Satisifed,Neutral,Neutral,Satisifed,Satisifed,Satisifed,Neutral,Exclusive Discounts,Very likely,4,nothing for now,0
4,04/07/2026 16:34:44,04/07/2026 16:36:20,0:01:36,anonymous,< 6 months,Never,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Extremely dissatisfied ,An all too familiar face?,Very likely,4,more duplicates,0
5,04/07/2026 22:48:48,04/07/2026 22:49:29,0:00:41,anonymous,< 6 months,Weekly,Extremely satisfied,Extremely satisfied,Extremely satisfied,Neutral,Extremely satisfied,Neutral,Extremely satisfied,Neutral,Exclusive Discounts,Very likely,5,,0
6,04/07/2026 23:44:52,04/07/2026 23:46:10,0:01:18,anonymous,> 10 years,Daily,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely dissatisfied ,Extremely satisfied,An all too familiar face?,Very likely,5,I'd love to see more fresh meat at the brewery!,3
7,04/08/2026 02:23:02,04/08/2026 02:24:48,0:01:46,anonymous,5 - 10 years ,Seasonal,Neutral,Extremely satisfied,Extremely dissatisfied ,Neutral,Dissatisfied ,Dissatisfied ,Extremely satisfied,Extremely satisfied,An all too familiar face?,Very likely,5,English Lessons,1
8,04/08/2026 09:53:30,04/08/2026 09:54:23,0:00:53,anonymous,6 - 12 months,Monthly,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Exclusive Discounts,Very likely,5,Nothing at the moment! ,2
9,04/08/2026 11:16:58,04/08/2026 11:19:00,0:02:02,anonymous,< 6 months,Yearly,Satisifed,Neutral,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Satisifed,Neutral,Exclusive Discounts,Very likely,5,,1
10,04/08/2026 13:29:22,04/08/2026 13:30:30,0:01:08,anonymous,1 - 2 years,Monthly,Extremely satisfied,Extremely satisfied,Satisifed,Extremely satisfied,Extremely satisfied,Extremely satisfied,Neutral,Neutral,Credits to full meals,Very likely,5,,1
11,04/08/2026 13:42:53,04/08/2026 13:43:24,0:00:31,anonymous,< 6 months,Daily,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Exclusive Discounts,Somewhat unlikely,5,N/a,2
12,04/08/2026 14:36:51,04/08/2026 14:40:22,0:03:31,anonymous,6 - 12 months,Weekly,Neutral,Satisifed,Satisifed,Extremely satisfied,Satisifed,Satisifed,Dissatisfied ,Neutral,Exclusive Discounts,Very likely,4,,1
13,04/08/2026 15:50:20,04/08/2026 15:51:10,0:00:50,anonymous,> 10 years,Weekly,Neutral,Extremely dissatisfied ,Extremely satisfied,Neutral,Satisifed,Extremely satisfied,Extremely dissatisfied ,Dissatisfied ,An all too familiar face?,Very likely,5,i want to kill and eat people ,2
14,04/08/2026 22:30:43,04/08/2026 22:31:57,0:01:14,anonymous,1 - 2 years,Weekly,Neutral,Extremely satisfied,Neutral,Neutral,Extremely satisfied,Neutral,Extremely satisfied,Extremely satisfied,Exclusive Discounts,Very likely,5,togo orders online,1
15,04/09/2026 11:32:34,04/09/2026 11:44:29,0:11:55,anonymous,2 - 5 years,Daily,Extremely satisfied,Extremely satisfied,Dissatisfied ,Extremely dissatisfied ,Neutral,Satisifed,Extremely satisfied,Neutral,Exclusive Discounts,Very likely,5,"I want to try snake, frog, and lizards.",0
16,04/09/2026 11:43:48,04/09/2026 11:46:37,0:02:49,anonymous,1 - 2 years,Seasonal,Satisifed,Satisifed,Neutral,Satisifed,Satisifed,Neutral,Satisifed,Neutral,Credits to full meals,Very likely,4,the rewards membership,0
17,04/09/2026 14:44:19,04/09/2026 14:44:52,0:00:33,anonymous,6 - 12 months,Monthly,Extremely satisfied,Satisifed,Neutral,Extremely satisfied,Neutral,Extremely satisfied,Neutral,Extremely satisfied,Credits to full meals,Very likely,5,,2
